Household_ID,Region,Households_Type,Race,nPeople,nChildren,nOld,Males,Females,Income,PubTrans
86,70,SP,White,2,1,0,0,2,NO,No
87,66,AL_O,White,1,0,0,0,1,NO,No
88,26,HW_O,White,2,0,2,0,2,NO,No
89,67,HW_O,White,2,0,2,2,0,NO,No
90,60,A,White,1,0,0,0,1,NO,No
91,55,HW,White,4,2,0,3,1,NO,No
92,14,R,White,4,0,0,1,3,NO,No
93,66,HW_O,White,2,0,2,2,0,NO,No
94,18,AL_O,White,1,0,0,0,1,POV,Yes
95,13,AL_O,White,1,0,0,0,1,NO,No
96,67,SP,White,3,2,0,3,0,NO,No
97,30,R,Hispanic,4,0,0,1,3,NO,No
98,63,A,Black,1,0,0,1,0,NO,No
99,36,HW,Hispanic,5,3,0,2,3,POV,No
100,60,A,White,1,0,0,1,0,NO,No
101,1,HW,Asian,4,2,0,2,2,NO,No
102,68,A,White,1,0,0,1,0,NO,Yes
103,50,A,White,1,0,0,1,0,NO,No
104,30,HW,Hispanic,4,2,0,3,1,POV,No
105,50,A,White,1,0,0,0,1,NO,No
106,43,R,White,5,0,0,1,4,NO,No
107,22,R,White,4,0,0,2,2,POV,No
108,66,HW,White,4,2,0,2,2,NO,No
109,14,SP,Multirace,3,2,0,2,1,POV,No
110,55,A,White,1,0,0,0,1,NO,No
111,65,SP,White,2,1,0,2,0,NO,No
112,19,A,Black,1,0,0,1,0,POV,No
113,17,SP,White,3,2,0,0,3,POV,No
114,69,SP,White,3,2,0,1,2,POV,No
115,47,HW,White,5,3,0,2,3,NO,No
116,28,SP,White,2,1,0,1,1,NO,No
117,9,HW,White,5,3,0,2,3,NO,No
118,48,A,White,1,0,0,0,1,NO,No
119,6,HW,White,3,1,0,1,2,POV,No
120,2,HW,White,5,3,0,4,1,POV,Yes
121,69,HW_O,White,2,0,2,2,0,NO,No
122,15,R,White,4,0,0,4,0,POV,No
123,21,HW_O,White,2,0,2,1,1,NO,No
124,70,SP,White,2,1,0,1,1,NO,Yes
125,14,A,Hispanic,1,0,0,1,0,POV,No
126,11,A,White,1,0,0,1,0,NO,Yes
127,70,R,White,4,0,0,2,2,NO,No
128,9,A,White,1,0,0,1,0,POV,No
129,56,SP,White,3,2,0,2,1,NO,No
130,14,HW_O,White,2,0,2,1,1,POV,No
131,36,Fam_O,White,3,0,1,2,1,POV,No
132,3,AL_O,White,1,0,0,0,1,NO,No
133,1,SP,White,2,1,0,2,0,NO,No
134,69,SP,Hispanic,4,3,0,3,1,NO,No
135,3,SP,White,3,2,0,1,2,NO,No
136,23,R,Hispanic,5,0,0,2,3,POV,No
137,13,SP,White,4,3,0,1,3,POV,No
138,29,HW_O,White,2,0,2,1,1,NO,No
139,38,HW_O,White,2,0,2,1,1,NO,No
140,63,HW,White,3,1,0,2,1,NO,No
141,26,AL_O,Hispanic,1,0,0,0,1,POV,No
142,1,SP,Asian,3,2,0,1,2,NO,No
143,45,HW,White,4,2,0,2,2,NO,No
144,30,HW,White,3,1,0,2,1,NO,No
145,33,R,White,2,0,0,2,0,NO,No
146,44,HW,White,4,2,0,3,1,NO,No
147,37,HW,White,4,2,0,2,2,POV,No
148,40,SP,White,3,2,0,1,2,NO,No
149,16,HW_O,Asian,2,0,2,2,0,POV,Yes
150,2,HW,White,5,3,0,3,2,POV,No
151,70,R,Asian,5,0,0,2,3,NO,No
152,55,AL_O,White,1,0,0,1,0,NO,No
153,36,AL_O,White,1,0,0,1,0,NO,No
154,22,A,White,1,0,0,0,1,NO,No
155,37,A,White,1,0,0,0,1,NO,No
156,70,R,White,5,0,0,1,4,NO,No
157,34,R,White,4,0,0,2,2,NO,No
158,24,HW,White,4,2,0,2,2,NO,No
159,59,R,White,6,0,0,3,3,NO,No
160,70,A,White,1,0,0,0,1,NO,No
161,62,HW,White,5,3,0,1,4,NO,No
162,61,Fam_O,White,3,0,1,1,2,NO,No
163,13,AL_O,White,1,0,0,1,0,NO,Yes
164,18,SP,White,2,1,0,0,2,POV,No
165,42,HW,White,4,2,0,2,2,NO,Yes
166,61,A,White,1,0,0,0,1,NO,No
167,46,SP,White,2,1,0,0,2,NO,No
168,62,A,White,1,0,0,1,0,NO,No
169,1,R,White,6,0,0,3,3,NO,No
170,2,A,White,1,0,0,0,1,NO,No
171,52,AL_O,Black,1,0,0,0,1,NO,No
172,44,AL_O,White,1,0,0,1,0,NO,No
173,69,A,Hispanic,1,0,0,0,1,NO,No
174,38,A,White,1,0,0,0,1,NO,No
175,54,HW_O,White,2,0,2,0,2,NO,No
176,4,SP,Asian,4,3,0,4,0,NO,No
177,66,HW,White,3,1,0,2,1,NO,No
178,65,HW_O,White,2,0,2,2,0,NO,No
179,66,SP,White,2,1,0,0,2,NO,No
180,22,SP,White,3,2,0,3,0,NO,No
181,22,AL_O,Multirace,1,0,0,1,0,NO,No
182,69,HW,White,3,1,0,2,1,POV,No
183,53,HW,White,5,3,0,3,2,NO,No
184,8,HW,White,4,2,0,3,1,NO,No
185,18,R,Black,2,0,0,1,1,NO,No
186,67,AL_O,White,1,0,0,1,0,NO,No
187,45,HW,White,3,1,0,2,1,NO,No
188,24,SP,White,2,1,0,1,1,NO,No
189,10,HW,White,3,1,0,1,2,NO,No
190,70,SP,White,5,4,0,3,2,NO,No
191,63,HW,White,3,1,0,2,1,NO,No
192,64,A,Hispanic,1,0,0,1,0,NO,No
193,68,AL_O,White,1,0,0,0,1,NO,Yes
194,30,HW_O,White,2,0,2,2,0,NO,No
195,1,HW,White,4,2,0,3,1,POV,No
196,2,HW,White,3,1,0,1,2,NO,No
197,3,HW,White,4,2,0,2,2,NO,No
198,59,HW,White,4,2,0,2,2,NO,No
199,56,HW,White,4,2,0,2,2,NO,No
200,70,SP,White,2,1,0,1,1,NO,No
201,19,A,White,1,0,0,1,0,NO,No
202,37,SP,Multirace,3,2,0,3,0,POV,No
203,65,A,White,1,0,0,0,1,NO,No
204,2,SP,White,3,2,0,2,1,NO,No
205,58,HW,White,4,2,0,1,3,POV,No
206,67,HW_O,Hispanic,2,0,2,0,2,NO,No
207,70,A,White,1,0,0,1,0,NO,No
208,59,SP,White,3,2,0,1,2,NO,No
209,33,Fam_O,Black,3,0,1,2,1,NO,No
210,2,R,White,2,0,0,1,1,NO,No
211,66,HW,White,3,1,0,1,2,NO,No
212,60,HW_O,White,2,0,2,0,2,NO,No
213,61,SP,White,5,4,0,2,3,NO,No
214,27,A,Black,1,0,0,0,1,NO,No
215,66,Fam_O,White,3,0,1,2,1,NO,No
216,37,HW,White,4,2,0,2,2,NO,No
217,27,A,Black,1,0,0,0,1,NO,No
218,27,SP,White,4,3,0,1,3,NO,No
219,67,R,White,6,0,0,1,5,NO,No
220,63,AL_O,White,1,0,0,1,0,NO,No
221,56,R,White,5,0,0,2,3,NO,No
222,46,HW,White,5,3,0,3,2,NO,No
223,15,A,White,1,0,0,1,0,POV,No
224,66,HW_O,White,2,0,2,1,1,POV,No
225,68,SP,Asian,2,1,0,0,2,POV,No
226,17,HW,White,3,1,0,2,1,POV,No
227,67,A,Asian,1,0,0,0,1,NO,No
228,8,HW,White,3,1,0,1,2,NO,No
229,67,HW_O,White,2,0,2,2,0,NO,No
230,15,HW_O,Asian,2,0,2,1,1,POV,No
231,43,AL_O,White,1,0,0,0,1,NO,No
232,70,R,White,4,0,0,0,4,POV,No
233,70,A,White,1,0,0,0,1,NO,No
234,70,HW_O,White,2,0,2,0,2,NO,No
235,30,HW,White,3,1,0,1,2,NO,No
236,41,HW_O,White,2,0,2,1,1,NO,No
237,55,HW,White,5,3,0,2,3,NO,No
238,27,HW_O,White,2,0,2,1,1,NO,Yes
239,56,R,White,6,0,0,3,3,NO,No
240,66,HW,White,6,4,0,2,4,NO,No
241,55,HW_O,White,2,0,2,2,0,NO,No
242,33,A,Black,1,0,0,1,0,NO,Yes
243,70,AL_O,White,1,0,0,1,0,NO,No
244,30,HW_O,Hispanic,2,0,2,2,0,NO,No
245,24,A,White,1,0,0,1,0,NO,No
246,66,A,White,1,0,0,1,0,NO,No
247,1,A,Asian,1,0,0,0,1,POV,No
248,1,R,White,3,0,0,2,1,NO,No
249,56,HW_O,White,2,0,2,1,1,NO,No
250,69,SP,White,3,2,0,0,3,POV,No
251,12,R,Asian,5,0,0,2,3,NO,No
252,2,A,Asian,1,0,0,1,0,POV,No
253,26,HW,White,3,1,0,2,1,NO,No
254,45,AL_O,White,1,0,0,1,0,NO,No
255,35,HW,White,5,3,0,2,3,NO,No
256,65,HW,Hispanic,4,2,0,3,1,NO,No
257,4,HW,White,3,1,0,2,1,NO,No
258,54,A,White,1,0,0,0,1,NO,No
259,16,SP,White,3,2,0,1,2,POV,No
260,51,A,White,1,0,0,0,1,NO,No
261,14,AL_O,White,1,0,0,0,1,POV,No
262,38,AL_O,White,1,0,0,0,1,NO,No
263,7,HW_O,White,2,0,2,2,0,NO,No
264,4,AL_O,White,1,0,0,0,1,NO,No
265,20,A,White,1,0,0,0,1,NO,No
266,50,A,White,1,0,0,0,1,NO,No
267,66,SP,White,2,1,0,1,1,NO,No
268,47,AL_O,Hispanic,1,0,0,1,0,NO,No
269,56,SP,White,2,1,0,0,2,NO,No
270,70,R,White,2,0,0,1,1,NO,Yes
271,30,SP,Hispanic,2,1,0,1,1,POV,No
272,40,HW,White,4,2,0,1,3,NO,No
273,53,A,White,1,0,0,1,0,POV,No
274,56,R,White,6,0,0,4,2,NO,No
275,8,AL_O,White,1,0,0,0,1,NO,No
276,56,HW_O,Multirace,2,0,2,0,2,NO,No
277,61,A,White,1,0,0,1,0,NO,No
278,65,A,White,1,0,0,1,0,NO,No
279,43,R,Black,6,0,0,5,1,POV,No
280,29,AL_O,White,1,0,0,0,1,NO,No
281,16,R,White,5,0,0,3,2,NO,No
282,53,A,White,1,0,0,1,0,NO,No
283,2,R,White,3,0,0,1,2,NO,Yes
284,11,A,White,1,0,0,1,0,NO,No
285,22,R,White,2,0,0,2,0,NO,No
286,66,AL_O,White,1,0,0,1,0,NO,No
287,55,HW,White,4,2,0,2,2,NO,No
288,53,SP,White,3,2,0,1,2,NO,No
289,61,A,White,1,0,0,1,0,NO,No
290,16,AL_O,White,1,0,0,0,1,POV,No
291,1,HW,White,3,1,0,1,2,NO,No
292,3,SP,White,2,1,0,0,2,NO,No
293,27,AL_O,White,1,0,0,0,1,NO,No
294,1,HW_O,White,2,0,2,1,1,POV,No
295,36,HW,White,4,2,0,2,2,NO,No
296,29,HW,White,3,1,0,2,1,NO,No
297,13,SP,White,3,2,0,3,0,POV,No
298,11,R,White,3,0,0,2,1,NO,No
299,14,SP,White,2,1,0,0,2,POV,No
300,67,A,Hispanic,1,0,0,0,1,NO,No
301,12,HW,Asian,5,3,0,4,1,NO,No
302,1,HW_O,Asian,2,0,2,1,1,NO,No
303,14,HW,White,4,2,0,2,2,NO,No
304,17,A,White,1,0,0,0,1,POV,No
305,18,HW_O,White,2,0,2,1,1,POV,No
306,56,R,White,5,0,0,3,2,NO,No
307,37,HW_O,White,2,0,2,1,1,POV,No
308,4,SP,White,2,1,0,1,1,NO,No
309,14,R,White,6,0,0,2,4,POV,No
310,42,HW_O,White,2,0,2,1,1,NO,No
311,70,HW,White,4,2,0,3,1,NO,Yes
312,34,A,White,1,0,0,0,1,POV,No
313,15,A,White,1,0,0,0,1,POV,No
314,3,R,White,6,0,0,2,4,NO,No
315,6,HW,White,4,2,0,3,1,NO,Yes
316,56,HW,White,3,1,0,2,1,NO,No
317,63,A,White,1,0,0,0,1,NO,No
318,65,R,White,3,0,0,1,2,NO,No
319,51,AL_O,White,1,0,0,0,1,NO,No
320,23,HW,White,3,1,0,1,2,NO,Yes
321,70,R,Asian,5,0,0,2,3,NO,No
322,41,SP,Hispanic,2,1,0,2,0,NO,No
323,35,R,White,3,0,0,2,1,NO,No
324,33,SP,Hispanic,3,2,0,1,2,NO,No
325,70,AL_O,White,1,0,0,1,0,NO,No
326,70,HW_O,Asian,2,0,2,1,1,NO,No
327,59,SP,White,2,1,0,0,2,NO,No
328,32,A,White,1,0,0,1,0,NO,No
329,9,SP,White,3,2,0,2,1,POV,No
330,38,HW,White,3,1,0,1,2,NO,No
331,69,SP,White,3,2,0,2,1,NO,No
332,23,HW,White,3,1,0,1,2,NO,No
333,53,R,White,3,0,0,2,1,POV,No
334,45,AL_O,White,1,0,0,0,1,NO,Yes
335,17,A,Asian,1,0,0,0,1,POV,Yes
336,61,SP,White,2,1,0,1,1,NO,No
337,43,A,White,1,0,0,0,1,NO,No
338,3,SP,Hispanic,3,2,0,1,2,NO,No
339,56,A,White,1,0,0,0,1,NO,No
340,63,A,White,1,0,0,1,0,NO,No
341,70,HW_O,White,2,0,2,2,0,NO,No
342,58,AL_O,Hispanic,1,0,0,0,1,NO,No
343,38,HW_O,White,2,0,2,1,1,NO,No
344,55,SP,White,4,3,0,1,3,NO,No
345,35,SP,White,2,1,0,1,1,POV,Yes
346,22,HW,White,5,3,0,3,2,NO,No
347,43,HW,White,6,4,0,3,3,NO,No
348,1,HW_O,White,2,0,2,0,2,NO,No
349,1,HW,White,3,1,0,2,1,NO,No
350,2,AL_O,Hispanic,1,0,0,1,0,NO,No
351,54,A,White,1,0,0,1,0,NO,No
352,67,SP,Hispanic,3,2,0,2,1,NO,No
353,56,HW,White,3,1,0,1,2,NO,No
354,61,A,White,1,0,0,1,0,NO,No
355,53,HW,White,3,1,0,1,2,NO,No
356,64,HW_O,Hispanic,2,0,2,1,1,POV,No
357,23,HW,White,6,4,0,3,3,NO,No
358,29,SP,White,5,4,0,2,3,NO,No
359,70,A,White,1,0,0,0,1,NO,No
360,64,HW,Hispanic,4,2,0,2,2,NO,No
361,9,AL_O,White,1,0,0,1,0,NO,Yes
362,1,HW_O,White,2,0,2,1,1,NO,No
363,47,SP,White,2,1,0,0,2,NO,No
364,27,R,White,6,0,0,3,3,NO,Yes
365,16,HW,Asian,3,1,0,1,2,POV,Yes
366,36,HW_O,White,2,0,2,2,0,NO,No
367,40,A,White,1,0,0,0,1,NO,Yes
368,51,A,White,1,0,0,0,1,NO,No
369,52,A,White,1,0,0,1,0,NO,Yes
370,40,A,White,1,0,0,0,1,NO,Yes
371,3,A,White,1,0,0,1,0,POV,No
372,32,SP,White,3,2,0,1,2,POV,No
373,65,AL_O,White,1,0,0,1,0,NO,No
374,30,HW_O,White,2,0,2,2,0,NO,No
375,3,A,White,1,0,0,0,1,NO,No
376,40,A,White,1,0,0,1,0,NO,No
377,6,SP,White,3,2,0,1,2,NO,No
378,46,A,Black,1,0,0,0,1,NO,No
379,16,SP,White,4,3,0,2,2,NO,No
380,70,Fam_O,Black,3,0,1,2,1,NO,No
381,70,R,White,5,0,0,3,2,POV,No
382,19,R,Black,4,0,0,2,2,NO,No
383,50,HW_O,White,2,0,2,1,1,NO,No
384,60,HW,White,3,1,0,1,2,POV,No
385,70,SP,White,3,2,0,1,2,NO,Yes
386,65,R,White,5,0,0,5,0,NO,No
387,43,AL_O,White,1,0,0,0,1,NO,No
388,59,SP,White,4,3,0,3,1,NO,No
389,18,HW,White,6,4,0,5,1,NO,No
390,59,A,White,1,0,0,0,1,NO,No
391,55,SP,Black,2,1,0,1,1,NO,No
392,13,SP,White,3,2,0,2,1,POV,No
393,65,HW,White,4,2,0,3,1,NO,No
394,18,SP,White,3,2,0,2,1,POV,No
395,70,A,White,1,0,0,1,0,NO,Yes
396,16,A,White,1,0,0,0,1,POV,No
397,47,R,White,4,0,0,2,2,NO,No
398,66,HW_O,White,2,0,2,0,2,NO,No
399,65,HW_O,White,2,0,2,1,1,NO,No
400,66,SP,White,3,2,0,0,3,NO,No
401,41,R,White,5,0,0,1,4,NO,No
402,43,A,White,1,0,0,0,1,NO,No
403,49,A,White,1,0,0,1,0,NO,No
404,57,HW,Hispanic,3,1,0,2,1,NO,No
405,60,SP,White,4,3,0,2,2,POV,No
406,64,A,Hispanic,1,0,0,1,0,NO,No
407,61,AL_O,Asian,1,0,0,0,1,NO,No
408,70,SP,White,2,1,0,2,0,NO,No
409,28,SP,White,5,4,0,3,2,NO,No
410,66,A,White,1,0,0,1,0,NO,No
411,3,HW,Asian,3,1,0,2,1,NO,No
412,54,R,White,4,0,0,2,2,NO,No
413,4,A,White,1,0,0,0,1,NO,No
414,28,HW_O,White,2,0,2,2,0,NO,Yes
415,1,HW,White,3,1,0,1,2,NO,No
416,3,SP,Asian,2,1,0,1,1,POV,No
417,20,HW_O,White,2,0,2,1,1,NO,No
418,70,SP,White,2,1,0,1,1,NO,No
419,22,SP,White,2,1,0,1,1,POV,No
420,48,SP,White,2,1,0,0,2,POV,No
421,43,HW,White,5,3,0,4,1,NO,No
422,4,AL_O,White,1,0,0,0,1,NO,No
423,45,SP,White,3,2,0,0,3,NO,No
424,61,HW,White,4,2,0,2,2,NO,No
425,55,A,White,1,0,0,0,1,NO,No
426,30,HW,Hispanic,3,1,0,2,1,NO,No
427,52,R,White,4,0,0,2,2,NO,No
428,61,R,White,3,0,0,1,2,NO,No
429,22,HW,Multirace,4,2,0,2,2,NO,No
430,30,SP,Hispanic,2,1,0,1,1,NO,No
431,10,AL_O,White,1,0,0,1,0,NO,No
432,1,SP,White,2,1,0,2,0,POV,No
433,60,HW,White,4,2,0,2,2,POV,No
434,70,HW,White,5,3,0,3,2,NO,No
435,70,A,White,1,0,0,0,1,NO,No
436,48,HW,Multirace,5,3,0,4,1,NO,No
437,18,R,Asian,4,0,0,3,1,POV,No
438,46,Fam_O,White,3,0,1,2,1,NO,No
439,70,HW,White,3,1,0,1,2,POV,No
440,1,R,White,2,0,0,0,2,POV,No
441,69,R,White,5,0,0,4,1,POV,Yes
442,9,A,White,1,0,0,1,0,POV,No
443,70,A,White,1,0,0,1,0,NO,Yes
444,55,HW,White,3,1,0,2,1,NO,No
445,42,A,White,1,0,0,1,0,NO,Yes
446,14,A,White,1,0,0,0,1,NO,No
447,60,SP,White,2,1,0,1,1,NO,No
448,70,R,White,3,0,0,2,1,NO,No
449,51,SP,White,4,3,0,3,1,NO,No
450,23,AL_O,White,1,0,0,0,1,NO,Yes
451,11,HW_O,White,2,0,2,1,1,NO,No
452,28,AL_O,White,1,0,0,0,1,NO,No
453,13,HW,White,6,4,0,3,3,POV,Yes
454,67,A,White,1,0,0,0,1,NO,No
455,62,HW,White,3,1,0,2,1,NO,No
456,30,HW_O,White,2,0,2,1,1,POV,No
457,35,A,White,1,0,0,0,1,NO,No
458,40,A,White,1,0,0,0,1,NO,No
459,59,R,White,6,0,0,1,5,NO,No
460,47,AL_O,White,1,0,0,1,0,NO,No
461,65,HW,White,4,2,0,3,1,NO,No
462,64,HW_O,White,2,0,2,1,1,NO,No
463,60,AL_O,White,1,0,0,0,1,NO,No
464,69,SP,White,2,1,0,2,0,POV,No
465,53,HW,White,4,2,0,3,1,NO,No
466,2,A,White,1,0,0,1,0,NO,No
467,70,HW,Asian,4,2,0,3,1,NO,No
468,65,AL_O,White,1,0,0,0,1,NO,No
469,47,HW_O,White,2,0,2,2,0,NO,No
470,37,AL_O,White,1,0,0,1,0,POV,No
471,4,SP,White,2,1,0,0,2,NO,No
472,70,SP,White,3,2,0,1,2,POV,No
473,2,HW,White,3,1,0,2,1,POV,No
474,28,A,White,1,0,0,0,1,NO,Yes
475,31,SP,Asian,3,2,0,0,3,POV,No
476,70,A,White,1,0,0,0,1,NO,No
477,42,SP,White,4,3,0,3,1,NO,No
478,47,SP,Hispanic,2,1,0,2,0,NO,No
479,44,HW,White,4,2,0,2,2,NO,Yes
480,19,SP,White,4,3,0,1,3,NO,No
481,15,R,White,5,0,0,3,2,POV,No
482,66,HW,White,4,2,0,1,3,NO,No
483,66,A,Hispanic,1,0,0,0,1,NO,No
484,66,Fam_O,White,3,0,1,2,1,NO,No
485,20,A,White,1,0,0,1,0,NO,No
486,3,HW,White,4,2,0,3,1,NO,No
487,60,SP,Hispanic,4,3,0,0,4,NO,No
488,20,SP,White,2,1,0,1,1,NO,No
489,30,Fam_O,White,3,0,1,1,2,NO,No
490,3,SP,White,2,1,0,2,0,NO,No
491,22,SP,White,2,1,0,1,1,NO,No
492,70,R,Hispanic,4,0,0,1,3,NO,No
493,38,SP,Hispanic,2,1,0,1,1,NO,No
494,49,SP,White,4,3,0,1,3,NO,No
495,57,A,Hispanic,1,0,0,1,0,POV,No
496,14,AL_O,Asian,1,0,0,0,1,POV,No
497,11,AL_O,Asian,1,0,0,0,1,NO,No
498,40,AL_O,White,1,0,0,1,0,NO,No
499,32,HW,White,4,2,0,2,2,NO,No
500,50,SP,White,2,1,0,0,2,NO,No
501,39,R,White,5,0,0,3,2,NO,No
502,7,SP,White,2,1,0,1,1,NO,No
503,3,SP,White,2,1,0,1,1,NO,No
504,63,HW_O,Black,2,0,2,2,0,NO,No
505,7,A,White,1,0,0,1,0,NO,No
506,59,HW,White,5,3,0,1,4,NO,No
507,49,HW_O,White,2,0,2,2,0,NO,No
508,2,R,White,3,0,0,1,2,POV,No
509,61,R,White,6,0,0,4,2,NO,No
510,22,HW,White,5,3,0,2,3,NO,No
511,70,R,White,5,0,0,3,2,NO,No
512,57,HW,Hispanic,6,4,0,3,3,NO,No
513,47,HW,White,3,1,0,2,1,NO,No
514,66,SP,White,2,1,0,1,1,NO,No
515,1,SP,White,4,3,0,2,2,NO,No
516,49,A,White,1,0,0,0,1,NO,No
517,53,SP,White,3,2,0,1,2,NO,No
518,14,A,Multirace,1,0,0,1,0,POV,No
519,28,AL_O,White,1,0,0,0,1,POV,No
520,4,AL_O,White,1,0,0,1,0,NO,No
521,34,SP,White,2,1,0,1,1,POV,No
522,14,HW,White,5,3,0,3,2,NO,No
523,68,HW,Multirace,4,2,0,1,3,POV,No
524,58,A,White,1,0,0,0,1,NO,No
525,5,SP,White,2,1,0,0,2,NO,No
526,2,R,White,5,0,0,4,1,POV,No
527,61,A,White,1,0,0,0,1,NO,No
528,25,A,Hispanic,1,0,0,1,0,NO,No
529,69,HW,White,3,1,0,2,1,POV,No
530,43,R,White,2,0,0,0,2,NO,No
531,65,SP,White,3,2,0,0,3,NO,No
532,27,R,White,4,0,0,3,1,POV,No
533,15,AL_O,White,1,0,0,0,1,POV,No
534,3,HW,Hispanic,3,1,0,2,1,POV,No
535,14,HW,White,6,4,0,2,4,NO,No
536,14,HW,White,5,3,0,2,3,POV,No
537,1,HW,White,3,1,0,2,1,NO,No
538,3,SP,White,2,1,0,2,0,NO,No
539,25,A,Hispanic,1,0,0,0,1,NO,No
540,70,SP,Asian,2,1,0,1,1,NO,No
541,27,SP,White,2,1,0,1,1,POV,No
542,41,R,White,4,0,0,3,1,NO,No
543,56,HW,White,3,1,0,1,2,NO,No
544,62,HW,White,4,2,0,2,2,NO,No
545,3,AL_O,White,1,0,0,0,1,NO,No
546,22,HW_O,Hispanic,2,0,2,1,1,NO,No
547,3,Fam_O,White,3,0,1,1,2,NO,No
548,63,SP,White,3,2,0,0,3,NO,No
549,33,HW,White,4,2,0,2,2,NO,No
550,13,HW_O,White,2,0,2,0,2,NO,No
551,69,SP,White,2,1,0,1,1,POV,No
552,47,SP,White,3,2,0,0,3,NO,No
553,1,HW_O,White,2,0,2,1,1,NO,No
554,70,SP,Hispanic,3,2,0,2,1,NO,No
555,1,A,White,1,0,0,0,1,NO,No
556,12,SP,White,5,4,0,2,3,NO,No
557,22,HW_O,Multirace,2,0,2,1,1,NO,No
558,57,HW,Hispanic,5,3,0,2,3,NO,No
559,69,R,White,6,0,0,4,2,POV,No
