"Household_ID","Region","Income","Race","PubTrans"
222,46,"NO","White","No"
223,15,"POV","White","No"
224,66,"POV","White","No"
225,68,"POV","Asian","No"
226,17,"POV","White","No"
227,67,"NO","Asian","No"
228,8,"NO","White","No"
229,67,"NO","White","No"
230,15,"POV","Asian","No"
231,43,"NO","White","No"
232,70,"POV","White","No"
233,70,"NO","White","No"
234,70,"NO","White","No"
235,30,"NO","White","No"
236,41,"NO","White","No"
237,55,"NO","White","No"
238,27,"NO","White","Yes"
239,56,"NO","White","No"
240,66,"NO","White","No"
241,55,"NO","White","No"
242,33,"NO","Black","Yes"
243,70,"NO","White","No"
244,30,"NO","Hispanic","No"
245,24,"NO","White","No"
246,66,"NO","White","No"
247,1,"POV","Asian","No"
248,1,"NO","White","No"
249,56,"NO","White","No"
250,69,"POV","White","No"
251,12,"NO","Asian","No"
252,2,"POV","Asian","No"
253,26,"NO","White","No"
254,45,"NO","White","No"
255,35,"NO","White","No"
256,65,"NO","Hispanic","No"
257,4,"NO","White","No"
258,54,"NO","White","No"
259,16,"POV","White","No"
260,51,"NO","White","No"
261,14,"POV","White","No"
262,38,"NO","White","No"
263,7,"NO","White","No"
264,4,"NO","White","No"
265,20,"NO","White","No"
266,50,"NO","White","No"
267,66,"NO","White","No"
268,47,"NO","Hispanic","No"
269,56,"NO","White","No"
270,70,"NO","White","Yes"
271,30,"POV","Hispanic","No"
272,40,"NO","White","No"
273,53,"POV","White","No"
274,56,"NO","White","No"
275,8,"NO","White","No"
276,56,"NO","Multirace","No"
277,61,"NO","White","No"
278,65,"NO","White","No"
279,43,"POV","Black","No"
280,29,"NO","White","No"
281,16,"NO","White","No"
282,53,"NO","White","No"
283,2,"NO","White","Yes"
284,11,"NO","White","No"
285,22,"NO","White","No"
286,66,"NO","White","No"
287,55,"NO","White","No"
288,53,"NO","White","No"
289,61,"NO","White","No"
290,16,"POV","White","No"
291,1,"NO","White","No"
292,3,"NO","White","No"
293,27,"NO","White","No"
294,1,"POV","White","No"
295,36,"NO","White","No"
296,29,"NO","White","No"
297,13,"POV","White","No"
298,11,"NO","White","No"
299,14,"POV","White","No"
300,67,"NO","Hispanic","No"
301,12,"NO","Asian","No"
302,1,"NO","Asian","No"
303,14,"NO","White","No"
304,17,"POV","White","No"
305,18,"POV","White","No"
306,56,"NO","White","No"
307,37,"POV","White","No"
308,4,"NO","White","No"
309,14,"POV","White","No"
310,42,"NO","White","No"
311,70,"NO","White","Yes"
312,34,"POV","White","No"
313,15,"POV","White","No"
314,3,"NO","White","No"
315,6,"NO","White","Yes"
316,56,"NO","White","No"
317,63,"NO","White","No"
318,65,"NO","White","No"
319,51,"NO","White","No"
320,23,"NO","White","Yes"
321,70,"NO","Asian","No"
322,41,"NO","Hispanic","No"
323,35,"NO","White","No"
324,33,"NO","Hispanic","No"
325,70,"NO","White","No"
326,70,"NO","Asian","No"
327,59,"NO","White","No"
328,32,"NO","White","No"
329,9,"POV","White","No"
330,38,"NO","White","No"
331,69,"NO","White","No"
332,23,"NO","White","No"
333,53,"POV","White","No"
334,45,"NO","White","Yes"
335,17,"POV","Asian","Yes"
336,61,"NO","White","No"
337,43,"NO","White","No"
338,3,"NO","Hispanic","No"
339,56,"NO","White","No"
340,63,"NO","White","No"
341,70,"NO","White","No"
342,58,"NO","Hispanic","No"
343,38,"NO","White","No"
344,55,"NO","White","No"
345,35,"POV","White","Yes"
346,22,"NO","White","No"
347,43,"NO","White","No"
348,1,"NO","White","No"
349,1,"NO","White","No"
350,2,"NO","Hispanic","No"
351,54,"NO","White","No"
352,67,"NO","Hispanic","No"
353,56,"NO","White","No"
354,61,"NO","White","No"
355,53,"NO","White","No"
356,64,"POV","Hispanic","No"
357,23,"NO","White","No"
358,29,"NO","White","No"
359,70,"NO","White","No"
360,64,"NO","Hispanic","No"
361,9,"NO","White","Yes"
362,1,"NO","White","No"
363,47,"NO","White","No"
364,27,"NO","White","Yes"
365,16,"POV","Asian","Yes"
366,36,"NO","White","No"
367,40,"NO","White","Yes"
368,51,"NO","White","No"
369,52,"NO","White","Yes"
370,40,"NO","White","Yes"
371,3,"POV","White","No"
372,32,"POV","White","No"
373,65,"NO","White","No"
374,30,"NO","White","No"
375,3,"NO","White","No"
376,40,"NO","White","No"
377,6,"NO","White","No"
378,46,"NO","Black","No"
379,16,"NO","White","No"
380,70,"NO","Black","No"
381,70,"POV","White","No"
382,19,"NO","Black","No"
383,50,"NO","White","No"
384,60,"POV","White","No"
385,70,"NO","White","Yes"
386,65,"NO","White","No"
387,43,"NO","White","No"
388,59,"NO","White","No"
389,18,"NO","White","No"
390,59,"NO","White","No"
391,55,"NO","Black","No"
392,13,"POV","White","No"
393,65,"NO","White","No"
394,18,"POV","White","No"
395,70,"NO","White","Yes"
396,16,"POV","White","No"
397,47,"NO","White","No"
398,66,"NO","White","No"
399,65,"NO","White","No"
400,66,"NO","White","No"
401,41,"NO","White","No"
402,43,"NO","White","No"
403,49,"NO","White","No"
404,57,"NO","Hispanic","No"
405,60,"POV","White","No"
406,64,"NO","Hispanic","No"
407,61,"NO","Asian","No"
408,70,"NO","White","No"
409,28,"NO","White","No"
410,66,"NO","White","No"
411,3,"NO","Asian","No"
412,54,"NO","White","No"
413,4,"NO","White","No"
414,28,"NO","White","Yes"
415,1,"NO","White","No"
416,3,"POV","Asian","No"
417,20,"NO","White","No"
418,70,"NO","White","No"
419,22,"POV","White","No"
420,48,"POV","White","No"
421,43,"NO","White","No"
422,4,"NO","White","No"
423,45,"NO","White","No"
424,61,"NO","White","No"
425,55,"NO","White","No"
426,30,"NO","Hispanic","No"
427,52,"NO","White","No"
428,61,"NO","White","No"
429,22,"NO","Multirace","No"
430,30,"NO","Hispanic","No"
431,10,"NO","White","No"
432,1,"POV","White","No"
433,60,"POV","White","No"
434,70,"NO","White","No"
435,70,"NO","White","No"
436,48,"NO","Multirace","No"
437,18,"POV","Asian","No"
438,46,"NO","White","No"
439,70,"POV","White","No"
440,1,"POV","White","No"
441,69,"POV","White","Yes"
442,9,"POV","White","No"
443,70,"NO","White","Yes"
444,55,"NO","White","No"
445,42,"NO","White","Yes"
446,14,"NO","White","No"
447,60,"NO","White","No"
448,70,"NO","White","No"
449,51,"NO","White","No"
450,23,"NO","White","Yes"
451,11,"NO","White","No"
452,28,"NO","White","No"
453,13,"POV","White","Yes"
454,67,"NO","White","No"
455,62,"NO","White","No"
456,30,"POV","White","No"
457,35,"NO","White","No"
458,40,"NO","White","No"
459,59,"NO","White","No"
460,47,"NO","White","No"
461,65,"NO","White","No"
462,64,"NO","White","No"
463,60,"NO","White","No"
464,69,"POV","White","No"
465,53,"NO","White","No"
466,2,"NO","White","No"
467,70,"NO","Asian","No"
468,65,"NO","White","No"
469,47,"NO","White","No"
470,37,"POV","White","No"
471,4,"NO","White","No"
472,70,"POV","White","No"
473,2,"POV","White","No"
474,28,"NO","White","Yes"
475,31,"POV","Asian","No"
476,70,"NO","White","No"
477,42,"NO","White","No"
478,47,"NO","Hispanic","No"
479,44,"NO","White","Yes"
480,19,"NO","White","No"
481,15,"POV","White","No"
482,66,"NO","White","No"
483,66,"NO","Hispanic","No"
484,66,"NO","White","No"
485,20,"NO","White","No"
486,3,"NO","White","No"
487,60,"NO","Hispanic","No"
488,20,"NO","White","No"
489,30,"NO","White","No"
490,3,"NO","White","No"
491,22,"NO","White","No"
492,70,"NO","Hispanic","No"
493,38,"NO","Hispanic","No"
494,49,"NO","White","No"
495,57,"POV","Hispanic","No"
496,14,"POV","Asian","No"
497,11,"NO","Asian","No"
498,40,"NO","White","No"
499,32,"NO","White","No"
500,50,"NO","White","No"
501,39,"NO","White","No"
502,7,"NO","White","No"
503,3,"NO","White","No"
504,63,"NO","Black","No"
505,7,"NO","White","No"
506,59,"NO","White","No"
507,49,"NO","White","No"
508,2,"POV","White","No"
509,61,"NO","White","No"
510,22,"NO","White","No"
511,70,"NO","White","No"
512,57,"NO","Hispanic","No"
513,47,"NO","White","No"
514,66,"NO","White","No"
515,1,"NO","White","No"
516,49,"NO","White","No"
517,53,"NO","White","No"
518,14,"POV","Multirace","No"
519,28,"POV","White","No"
520,4,"NO","White","No"
521,34,"POV","White","No"
522,14,"NO","White","No"
523,68,"POV","Multirace","No"
524,58,"NO","White","No"
525,5,"NO","White","No"
526,2,"POV","White","No"
527,61,"NO","White","No"
528,25,"NO","Hispanic","No"
529,69,"POV","White","No"
530,43,"NO","White","No"
531,65,"NO","White","No"
532,27,"POV","White","No"
533,15,"POV","White","No"
534,3,"POV","Hispanic","No"
535,14,"NO","White","No"
536,14,"POV","White","No"
537,1,"NO","White","No"
538,3,"NO","White","No"
539,25,"NO","Hispanic","No"
540,70,"NO","Asian","No"
541,27,"POV","White","No"
542,41,"NO","White","No"
543,56,"NO","White","No"
544,62,"NO","White","No"
545,3,"NO","White","No"
546,22,"NO","Hispanic","No"
547,3,"NO","White","No"
548,63,"NO","White","No"
549,33,"NO","White","No"
550,13,"NO","White","No"
551,69,"POV","White","No"
552,47,"NO","White","No"
553,1,"NO","White","No"
554,70,"NO","Hispanic","No"
555,1,"NO","White","No"
556,12,"NO","White","No"
557,22,"NO","Multirace","No"
558,57,"NO","Hispanic","No"
559,69,"POV","White","No"
560,15,"POV","White","No"
561,6,"NO","White","No"
562,67,"NO","White","No"
563,3,"NO","White","No"
564,46,"NO","White","No"
565,2,"NO","White","No"
566,22,"NO","White","No"
567,55,"NO","White","No"
568,39,"NO","White","No"
569,53,"POV","White","No"
570,56,"NO","White","No"
571,70,"POV","White","Yes"
572,70,"NO","Asian","No"
573,69,"POV","White","No"
574,1,"NO","White","No"
575,70,"NO","Asian","No"
576,70,"NO","Asian","No"
577,57,"NO","Hispanic","No"
578,67,"NO","White","No"
579,10,"NO","White","No"
580,68,"NO","White","Yes"
581,16,"POV","Asian","No"
582,33,"POV","White","No"
583,56,"NO","White","No"
584,70,"POV","White","No"
585,32,"NO","White","No"
586,16,"POV","Black","Yes"
587,16,"POV","Asian","No"
588,27,"POV","White","No"
589,26,"NO","Asian","No"
590,33,"NO","Hispanic","No"
591,70,"POV","White","No"
592,68,"POV","Black","No"
593,13,"NO","White","Yes"
594,51,"NO","White","No"
595,65,"NO","White","No"
596,33,"NO","White","No"
597,39,"NO","White","No"
598,44,"NO","White","No"
599,1,"NO","Asian","Yes"
600,40,"NO","White","No"
601,41,"NO","White","Yes"
602,13,"NO","White","No"
603,4,"NO","White","No"
604,17,"NO","White","No"
605,1,"NO","White","No"
606,11,"NO","White","No"
607,28,"POV","Hispanic","No"
608,58,"NO","Hispanic","No"
609,10,"NO","White","No"
610,53,"NO","White","No"
611,63,"NO","White","No"
612,15,"NO","White","No"
613,56,"NO","White","No"
614,4,"NO","White","No"
615,15,"POV","White","No"
616,21,"NO","White","No"
617,61,"NO","White","No"
618,64,"NO","White","No"
619,16,"POV","Hispanic","No"
620,53,"NO","White","No"
621,3,"NO","White","No"
622,14,"POV","White","No"
623,61,"NO","White","No"
624,61,"NO","White","No"
625,50,"POV","White","No"
626,61,"NO","Asian","No"
627,19,"NO","Black","No"
628,69,"NO","White","No"
629,67,"POV","Hispanic","No"
630,69,"POV","White","No"
631,64,"NO","White","No"
632,40,"NO","White","No"
633,12,"NO","White","No"
634,66,"NO","Asian","No"
635,46,"POV","White","No"
636,20,"NO","White","No"
637,68,"NO","Multirace","No"
638,50,"NO","White","No"
639,57,"NO","Hispanic","No"
640,65,"NO","White","No"
641,70,"NO","White","No"
642,70,"NO","White","No"
643,70,"NO","White","Yes"
644,2,"POV","White","No"
645,22,"NO","White","No"
646,61,"NO","White","No"
647,18,"NO","Asian","No"
648,70,"NO","White","No"
649,61,"NO","Asian","No"
650,25,"NO","White","No"
651,32,"NO","White","No"
652,11,"NO","Black","No"
653,14,"POV","White","No"
654,61,"NO","White","No"
655,42,"POV","White","No"
656,51,"NO","White","No"
657,26,"NO","White","No"
658,52,"NO","White","No"
659,1,"NO","White","No"
660,6,"NO","Asian","No"
661,13,"POV","White","No"
662,16,"POV","Asian","No"
663,3,"NO","White","No"
664,50,"NO","White","No"
665,66,"NO","White","No"
666,4,"NO","White","No"
667,57,"NO","Black","No"
668,12,"NO","White","No"
669,2,"POV","White","No"
670,22,"NO","White","No"
671,14,"POV","White","No"
672,4,"NO","White","No"
673,69,"POV","White","No"
674,6,"NO","White","No"
675,11,"NO","White","Yes"
676,45,"NO","White","No"
677,2,"NO","White","No"
678,1,"NO","White","No"
679,3,"NO","White","No"
680,4,"NO","Asian","No"
681,18,"NO","White","No"
682,8,"POV","White","No"
683,50,"POV","White","No"
684,37,"POV","White","No"
685,61,"NO","White","No"
686,33,"NO","Black","No"
687,60,"NO","White","No"
688,44,"NO","White","No"
689,43,"NO","White","No"
690,56,"POV","Black","No"
691,61,"NO","Hispanic","No"
692,36,"NO","White","No"
693,12,"NO","White","No"
694,55,"NO","White","No"
695,1,"NO","White","Yes"
696,69,"POV","White","No"
697,1,"NO","White","No"
698,47,"NO","White","No"
699,66,"NO","White","No"
700,11,"NO","White","No"
701,70,"POV","White","No"
702,4,"NO","Asian","No"
703,70,"NO","Asian","No"
704,20,"NO","White","No"
705,33,"NO","White","No"
706,56,"NO","White","No"
707,66,"NO","White","No"
708,28,"NO","White","No"
709,6,"NO","White","No"
710,25,"NO","Hispanic","No"
711,7,"NO","White","No"
712,57,"NO","Black","No"
713,29,"NO","White","No"
714,41,"NO","White","No"
715,4,"NO","White","No"
716,56,"NO","White","Yes"
717,46,"NO","White","No"
718,21,"NO","White","No"
719,63,"NO","Asian","No"
720,51,"NO","White","No"
721,18,"NO","White","No"
722,25,"NO","White","No"
723,60,"NO","White","No"
724,69,"NO","Asian","No"
725,15,"POV","White","No"
726,66,"NO","White","No"
727,69,"POV","White","No"
728,42,"NO","White","Yes"
729,67,"NO","Hispanic","Yes"
730,54,"NO","White","No"
731,63,"NO","White","Yes"
732,14,"POV","Multirace","No"
733,1,"NO","White","No"
734,47,"NO","Hispanic","No"
735,60,"NO","White","No"
736,19,"NO","White","No"
737,1,"NO","Asian","No"
738,3,"NO","White","No"
739,2,"NO","White","No"
740,61,"NO","White","No"
741,66,"NO","White","No"
742,67,"POV","White","No"
743,17,"POV","Asian","No"
744,70,"NO","White","No"
745,53,"NO","White","No"
746,3,"NO","White","No"
747,64,"NO","White","No"
748,1,"NO","White","No"
749,3,"NO","White","No"
750,24,"NO","Black","No"
751,45,"NO","White","No"
752,67,"NO","White","No"
753,32,"POV","Black","Yes"
754,3,"NO","Multirace","No"
755,55,"NO","White","No"
756,50,"NO","Hispanic","No"
757,56,"NO","White","No"
758,1,"NO","White","No"
759,36,"POV","White","No"
760,24,"NO","White","No"
761,66,"NO","White","No"
762,52,"NO","Hispanic","No"
763,16,"NO","White","No"
764,63,"NO","White","No"
765,61,"NO","White","No"
766,14,"POV","Hispanic","No"
767,70,"POV","White","No"
768,65,"NO","White","No"
769,58,"NO","White","No"
770,66,"NO","White","No"
771,67,"NO","Black","No"
772,22,"NO","Multirace","No"
773,3,"NO","White","No"
774,59,"NO","Black","No"
775,34,"NO","White","No"
776,70,"NO","White","No"
777,2,"NO","White","No"
778,10,"NO","Asian","No"
779,56,"NO","White","No"
780,25,"NO","White","No"
781,11,"NO","White","No"
782,1,"NO","White","No"
783,9,"NO","White","Yes"
784,1,"NO","White","No"
785,39,"NO","White","No"
786,57,"NO","Hispanic","No"
787,6,"NO","White","No"
788,13,"POV","White","No"
789,16,"POV","White","No"
790,34,"NO","White","No"
791,10,"NO","White","No"
792,13,"POV","White","No"
793,18,"POV","Asian","No"
794,51,"NO","White","No"
795,16,"POV","Asian","No"
796,42,"NO","White","No"
797,2,"POV","Hispanic","No"
798,68,"NO","Asian","No"
799,59,"NO","Multirace","No"
800,27,"NO","White","No"
801,69,"POV","White","No"
802,3,"NO","Asian","No"
803,41,"POV","Hispanic","No"
804,36,"POV","White","No"
805,45,"NO","White","No"
806,28,"NO","White","No"
807,11,"NO","White","No"
808,56,"NO","White","No"
809,37,"NO","White","No"
810,70,"NO","Multirace","No"
811,4,"NO","White","No"
812,3,"NO","White","No"
813,48,"POV","White","No"
814,38,"NO","White","No"
815,13,"POV","White","No"
816,47,"NO","Hispanic","No"
817,33,"NO","White","No"
818,58,"NO","Black","No"
819,13,"NO","White","Yes"
820,64,"NO","White","No"
821,3,"NO","White","No"
822,56,"NO","White","No"
823,60,"NO","White","No"
824,56,"NO","White","No"
825,69,"POV","White","No"
826,14,"POV","White","No"
827,37,"POV","Black","No"
828,37,"POV","White","No"
829,1,"POV","White","No"
830,70,"NO","Asian","Yes"
831,51,"NO","White","No"
832,23,"NO","White","No"
833,69,"NO","Asian","No"
834,39,"NO","White","No"
835,19,"NO","White","Yes"
836,1,"NO","White","No"
837,28,"NO","White","No"
838,55,"NO","White","No"
839,70,"POV","Asian","No"
840,42,"NO","White","No"
841,14,"NO","Black","No"
842,60,"NO","White","No"
843,2,"NO","White","No"
844,70,"NO","White","No"
845,23,"NO","White","No"
846,1,"POV","White","No"
847,47,"NO","White","No"
848,27,"NO","Black","Yes"
849,46,"NO","White","No"
850,38,"NO","White","No"
851,66,"NO","White","No"
852,7,"NO","White","Yes"
853,39,"POV","Black","No"
854,58,"NO","Hispanic","No"
855,21,"POV","White","No"
856,47,"NO","White","No"
857,7,"NO","White","No"
858,21,"NO","White","No"
859,70,"POV","White","No"
860,16,"POV","Asian","No"
861,66,"NO","White","No"
862,31,"NO","White","No"
863,65,"NO","White","No"
864,46,"NO","White","No"
865,1,"POV","Asian","No"
866,15,"POV","White","No"
867,66,"NO","White","No"
868,69,"POV","White","No"
869,14,"NO","White","No"
870,43,"NO","White","No"
871,36,"NO","Hispanic","No"
872,27,"NO","White","Yes"
873,65,"NO","White","No"
874,29,"POV","White","No"
875,48,"NO","White","No"
876,1,"NO","White","No"
877,43,"NO","White","No"
878,18,"POV","White","Yes"
879,40,"NO","White","No"
880,37,"POV","White","No"
881,38,"NO","White","No"
882,4,"NO","White","No"
883,54,"NO","White","No"
884,43,"NO","White","No"
885,1,"NO","White","No"
886,45,"NO","White","No"
887,1,"NO","White","No"
888,22,"NO","White","No"
889,38,"NO","White","No"
890,18,"POV","Asian","No"
891,9,"NO","White","No"
892,25,"NO","White","No"
893,70,"NO","Asian","No"
894,61,"NO","White","No"
895,3,"NO","White","No"
896,53,"NO","White","No"
897,66,"NO","White","No"
898,1,"NO","White","Yes"
899,67,"NO","Black","No"
900,45,"NO","White","No"
901,49,"NO","White","Yes"
902,39,"NO","Asian","No"
903,21,"NO","White","No"
904,64,"NO","White","No"
905,66,"NO","Asian","No"
906,61,"NO","White","No"
907,18,"POV","White","No"
908,2,"NO","Asian","No"
909,66,"NO","White","No"
910,9,"NO","White","Yes"
911,58,"NO","Hispanic","No"
912,43,"NO","White","No"
913,3,"NO","Asian","No"
914,28,"NO","Asian","No"
915,37,"POV","White","No"
916,61,"NO","White","No"
917,38,"NO","White","No"
918,69,"NO","Asian","No"
919,67,"NO","White","No"
920,2,"NO","White","No"
921,66,"NO","White","No"
922,11,"NO","White","No"
923,28,"NO","Asian","No"
924,42,"NO","White","No"
925,50,"NO","White","Yes"
926,53,"NO","White","No"
927,45,"NO","White","No"
928,15,"POV","White","No"
929,16,"POV","White","No"
930,59,"NO","White","No"
931,40,"POV","White","No"
932,69,"POV","Hispanic","No"
933,1,"NO","White","No"
934,15,"NO","White","No"
935,40,"NO","White","No"
936,37,"NO","White","No"
937,10,"NO","White","No"
938,18,"POV","White","No"
939,47,"NO","Hispanic","No"
940,22,"NO","White","No"
941,66,"NO","Hispanic","No"
942,66,"NO","White","No"
943,14,"NO","Asian","No"
944,18,"NO","White","No"
945,67,"NO","White","No"
946,22,"NO","White","No"
947,18,"POV","Hispanic","No"
948,70,"NO","Hispanic","No"
949,26,"NO","White","No"
950,35,"NO","White","Yes"
951,70,"NO","White","No"
952,14,"NO","White","No"
953,11,"NO","Asian","Yes"
954,9,"NO","White","No"
955,1,"NO","White","No"
956,56,"NO","White","No"
957,49,"NO","White","No"
958,42,"NO","Hispanic","No"
959,37,"NO","White","No"
960,60,"NO","White","No"
961,59,"NO","Hispanic","No"
962,33,"NO","White","No"
963,16,"POV","Asian","No"
964,4,"NO","White","No"
965,14,"POV","Asian","No"
966,68,"NO","White","No"
967,62,"NO","White","No"
968,70,"NO","White","No"
969,13,"POV","White","No"
970,2,"NO","White","No"
971,14,"POV","Hispanic","No"
972,67,"NO","White","No"
973,10,"NO","White","No"
974,23,"NO","White","Yes"
975,48,"NO","White","Yes"
976,27,"NO","Black","No"
977,8,"POV","White","No"
978,70,"NO","White","No"
979,65,"NO","White","No"
980,56,"NO","Black","No"
981,22,"NO","White","No"
982,68,"POV","Multirace","No"
983,66,"NO","White","No"
984,39,"POV","White","No"
985,66,"NO","White","No"
986,25,"NO","Hispanic","No"
987,67,"NO","White","No"
988,30,"NO","White","No"
989,66,"NO","Hispanic","No"
990,14,"POV","Hispanic","No"
991,20,"NO","Hispanic","No"
992,1,"NO","White","No"
993,51,"NO","White","No"
994,44,"NO","White","No"
995,59,"NO","White","No"
996,68,"NO","White","No"
997,49,"NO","Black","No"
998,19,"POV","Black","No"
999,66,"NO","White","No"
1000,61,"NO","White","No"
1001,18,"POV","White","No"
1002,10,"NO","White","No"
1003,2,"NO","Asian","No"
1004,66,"NO","White","No"
1005,65,"NO","White","No"
1006,1,"POV","White","No"
1007,25,"NO","White","No"
1008,18,"POV","White","No"
1009,1,"NO","White","No"
1010,37,"POV","Hispanic","No"
1011,21,"NO","White","No"
1012,55,"NO","Hispanic","No"
1013,51,"NO","White","No"
1014,1,"NO","White","No"
1015,16,"POV","White","No"
1016,30,"NO","White","No"
